tier,ranks,hand,score,notes
S,A 2 3 4 9,A♠ 2♠ 3♠ 4♠ 9♠,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♠ 4♠ 9♥,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♠ 4♠ 9♦,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♠ 4♠ 9♣,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♠ 4♥ 9♠,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♠ 4♥ 9♥,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♠ 4♥ 9♦,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♠ 4♥ 9♣,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♠ 4♦ 9♠,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♠ 4♦ 9♥,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♠ 4♦ 9♦,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♠ 4♦ 9♣,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♠ 4♣ 9♠,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♠ 4♣ 9♥,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♠ 4♣ 9♦,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♠ 4♣ 9♣,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♥ 4♠ 9♠,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♥ 4♠ 9♥,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♥ 4♠ 9♦,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♥ 4♠ 9♣,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♥ 4♥ 9♠,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♥ 4♥ 9♥,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♥ 4♥ 9♦,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♥ 4♥ 9♣,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♥ 4♦ 9♠,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♥ 4♦ 9♥,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♥ 4♦ 9♦,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♥ 4♦ 9♣,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♥ 4♣ 9♠,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♥ 4♣ 9♥,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♥ 4♣ 9♦,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♥ 4♣ 9♣,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♦ 4♠ 9♠,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♦ 4♠ 9♥,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♦ 4♠ 9♦,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♦ 4♠ 9♣,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♦ 4♥ 9♠,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♦ 4♥ 9♥,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♦ 4♥ 9♦,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♦ 4♥ 9♣,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♦ 4♦ 9♠,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♦ 4♦ 9♥,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♦ 4♦ 9♦,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♦ 4♦ 9♣,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♦ 4♣ 9♠,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♦ 4♣ 9♥,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♦ 4♣ 9♦,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♦ 4♣ 9♣,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♣ 4♠ 9♠,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♣ 4♠ 9♥,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♣ 4♠ 9♦,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♣ 4♠ 9♣,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♣ 4♥ 9♠,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♣ 4♥ 9♥,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♣ 4♥ 9♦,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♣ 4♥ 9♣,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♣ 4♦ 9♠,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♣ 4♦ 9♥,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♣ 4♦ 9♦,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♣ 4♦ 9♣,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♣ 4♣ 9♠,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♣ 4♣ 9♥,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♣ 4♣ 9♦,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♠ 3♣ 4♣ 9♣,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♠ 4♠ 9♠,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♠ 4♠ 9♥,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♠ 4♠ 9♦,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♠ 4♠ 9♣,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♠ 4♥ 9♠,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♠ 4♥ 9♥,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♠ 4♥ 9♦,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♠ 4♥ 9♣,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♠ 4♦ 9♠,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♠ 4♦ 9♥,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♠ 4♦ 9♦,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♠ 4♦ 9♣,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♠ 4♣ 9♠,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♠ 4♣ 9♥,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♠ 4♣ 9♦,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♠ 4♣ 9♣,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♥ 4♠ 9♠,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♥ 4♠ 9♥,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♥ 4♠ 9♦,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♥ 4♠ 9♣,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♥ 4♥ 9♠,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♥ 4♥ 9♥,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♥ 4♥ 9♦,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♥ 4♥ 9♣,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♥ 4♦ 9♠,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♥ 4♦ 9♥,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♥ 4♦ 9♦,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♥ 4♦ 9♣,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♥ 4♣ 9♠,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♥ 4♣ 9♥,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♥ 4♣ 9♦,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♥ 4♣ 9♣,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♦ 4♠ 9♠,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♦ 4♠ 9♥,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♦ 4♠ 9♦,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♦ 4♠ 9♣,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♦ 4♥ 9♠,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♦ 4♥ 9♥,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♦ 4♥ 9♦,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♦ 4♥ 9♣,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♦ 4♦ 9♠,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♦ 4♦ 9♥,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♦ 4♦ 9♦,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♦ 4♦ 9♣,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♦ 4♣ 9♠,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♦ 4♣ 9♥,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♦ 4♣ 9♦,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♦ 4♣ 9♣,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♣ 4♠ 9♠,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♣ 4♠ 9♥,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♣ 4♠ 9♦,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♣ 4♠ 9♣,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♣ 4♥ 9♠,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♣ 4♥ 9♥,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♣ 4♥ 9♦,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♣ 4♥ 9♣,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♣ 4♦ 9♠,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♣ 4♦ 9♥,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♣ 4♦ 9♦,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♣ 4♦ 9♣,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♣ 4♣ 9♠,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♣ 4♣ 9♥,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♣ 4♣ 9♦,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♥ 3♣ 4♣ 9♣,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♦ 3♠ 4♠ 9♠,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♦ 3♠ 4♠ 9♥,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♦ 3♠ 4♠ 9♦,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♦ 3♠ 4♠ 9♣,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♦ 3♠ 4♥ 9♠,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♦ 3♠ 4♥ 9♥,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♦ 3♠ 4♥ 9♦,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♦ 3♠ 4♥ 9♣,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♦ 3♠ 4♦ 9♠,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♦ 3♠ 4♦ 9♥,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♦ 3♠ 4♦ 9♦,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♦ 3♠ 4♦ 9♣,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♦ 3♠ 4♣ 9♠,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♦ 3♠ 4♣ 9♥,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♦ 3♠ 4♣ 9♦,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♦ 3♠ 4♣ 9♣,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♦ 3♥ 4♠ 9♠,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♦ 3♥ 4♠ 9♥,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♦ 3♥ 4♠ 9♦,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♦ 3♥ 4♠ 9♣,100,4-to-wheel + flush potential
S,A 2 3 4 9,A♠ 2♦ 3♥ 4♥ 9♠,100,4-to-wheel + flush potential
