tier,hand,notes
S,"A♠ 2♠ 3♠ 4♠ 9♣","4-to-wheel + flush potential"
S,"A♥ 2♥ 3♥ 4♥ K♣","suited 4-to-wheel"
S,"A♣ 2♦ 3♠ 4♣ 5♦","almost wheel"
S,"A♦ 2♣ 3♦ 4♦ 6♠","4-to-wheel"
S,"A♠ 2♥ 3♣ 4♦ 5♠","wheel potential"
S,"A♠ 2♠ 3♣ 4♣ 7♥","4-to-wheel variants"
S,"A♥ 2♣ 3♦ 4♠ 5♣","wheel + mixed suits"
S,"A♣ 2♣ 5♣ 4♣ 9♠","suited 4-to-wheel"
S,"A♦ 2♦ 3♦ 4♣ 8♣","wheel + flush outs"
S,"A♠ 2♥ 3♦ 4♣ 5♣","wheel/flush mix"
S,"A♥ 2♠ 3♠ 4♦ 9♦","wheel-like"
S,"A♦ 3♦ 4♦ 5♦ 9♣","suited wheel draws"
S,"A♣ 2♠ 3♣ 9♣ 5♣","mixed wheel+flush"
S,"A♥ 2♥ 3♦ 4♦ 6♦","wheel/flush combo"
S,"A♠ 2♠ 3♥ 4♥ 8♥","suited wheel"
S,"A♦ 2♣ 3♠ 4♣ J♣","wheel + high-card insurance"
S,"A♣ 2♥ 3♦ 4♠ Q♠","wheel + high kickers"
S,"A♥ 2♣ 3♠ 4♣ 5♠","wheel variants"
S,"A♠ 2♣ 3♦ 4♥ 6♥","wheel-like"
S,"A♦ 2♦ 3♠ 4♣ 9♥","wheel + outs"
A,"K♠ K♦ K♣ 4♥ 9♦","Trips K - strong high"
A,"A♠ K♠ Q♠ J♣ 2♦","4-to-flush high potential"
A,"A♣ 2♠ 3♦ 6♣ 9♦","A-including low draws"
A,"A♠ 3♠ 4♦ 8♣ 9♣","A + low draws"
A,"A♥ 2♦ 5♣ 6♣ 9♠","A + mixed draws"
A,"Q♠ J♠ T♦ 9♠ 2♣","high-straight/flush potential"
A,"K♣ K♥ 3♦ 4♣ 7♣","big pair (K trips potential)"
A,"A♦ A♠ K♣ 4♦ 2♣","AA + high"
A,"A♣ 2♦ 3♣ 9♠ J♣","A + low draw combo"
A,"A♠ 2♠ 4♠ 5♣ T♦","suited low + high"
A,"A♥ 4♥ 5♥ 6♣ 9♠","A + suited low draws"
A,"A♣ 3♣ 4♣ 5♣ Q♣","suited wheel-like"
A,"K♠ Q♠ J♠ T♠ 3♦","4-to-high-straight flush"
A,"J♠ J♥ 5♦ 4♣ 2♣","pair of J - solid high"
A,"Q♣ Q♦ 3♠ 6♣ 7♦","pair Q - strong"
A,"10♠ 9♠ 8♠ 7♣ 2♦","4-to-straight/flush"
A,"A♦ K♦ Q♦ 2♦ 7♣","A+suited high potential"
A,"A♣ J♣ 3♣ 4♥ 8♠","A+suited low mix"
A,"9♠ 9♦ A♣ 5♠ 2♦","pair + A insurance"
A,"8♣ 7♣ 6♣ 5♦ K♣","suited run + K"
A,"4♠ 5♠ 6♠ 7♣ A♠","suited wheel-ish"
A,"3♣ 4♣ 5♣ 2♣ A♦","suited low + A"
A,"K♦ Q♥ J♦ 9♦ 4♣","high connected"
B,"2♠ 4♦ 5♣ 7♥ J♠","A-less low draws"
B,"9♠ 9♣ 2♦ 5♥ J♠","9-pair - marginal"
B,"4♠ 5♠ 8♦ J♣ Q♥","suited 2-card + connectors"
B,"3♣ 4♣ 5♦ 9♠ J♥","low connectors"
B,"6♠ 7♠ 2♦ 9♦ K♣","mixed draws"
B,"T♣ J♦ 9♠ 2♣ 4♥","disconnected high"
B,"8♦ 8♣ 3♠ 5♣ A♣","pair + A"
B,"7♠ 7♦ 4♣ 2♣ J♦","pair 7s - situational"
B,"Q♠ 9♠ 5♣ 3♦ 2♥","mixed high/low"
B,"5♣ 6♣ 7♣ 2♦ 3♦","suited connectors"
B,"9♥ 8♥ 7♦ 3♣ 2♣","connector low"
B,"4♦ 5♦ 3♠ 8♣ K♦","mixed draws with K"
B,"6♣ 6♦ 2♠ 9♣ J♣","pair 6s - marginal"
B,"3♠ 5♣ 9♦ Q♠ K♣","mixed hand"
B,"2♦ 3♦ 4♦ 9♠ A♠","A-including low draws (A present)"
B,"7♣ 8♣ 5♦ Q♣ K♠","suited connectors + K"
B,"4♠ 6♠ 9♦ T♣ J♣","disconnected connectors"
B,"5♥ 6♥ 7♦ 8♦ 2♠","connector low suited"
B,"9♣ 9♦ Q♣ 5♠ 2♦","pair 9 with Q"
B,"8♠ 9♠ T♦ 3♣ 4♥","high connectors"
C,"7♠ 8♦ J♣ 2♥ 3♦","weak mixed"
C,"9♣ 9♥ 4♦ 6♠ 2♣","marginal pair 9"
C,"T♣ J♦ 3♠ 6♥ 8♦","disconnected high"
C,"5♠ 9♦ Q♣ K♥ 2♣","weak high"
C,"2♦ 7♣ 8♠ Q♣ J♦","weak mixed"
C,"3♠ 6♣ 9♦ T♣ A♣","A present but poor struct"
C,"4♥ 5♦ 8♣ K♠ T♦","low-value mixed"
C,"2♣ 3♣ 7♦ 9♠ Q♣","weak suited low"
C,"6♦ 7♦ 9♥ J♣ 4♠","weak mixed connectors"
C,"8♣ 9♦ 2♥ 3♦ 5♠","weak low connectors"
C,"Q♥ 7♣ 5♣ 3♠ 2♦","weak queen-led"
C,"J♠ 6♠ 4♣ 9♣ 2♣","weak mixed"
C,"T♥ 8♦ 3♣ 5♠ 6♦","weak connectors"
C,"9♠ 4♠ 2♦ 7♣ K♦","mixed low+K"
C,"5♣ 6♦ Q♣ J♦ 8♠","mixed mid-range"
C,"3♦ 4♣ 5♠ 9♥ T♦","weak connectors"
